dataset,model,size,n_seeds,auc_mean,auc_std,acc_mean,acc_std,ref_auc,ref_acc,delta_auc,delta_acc,flag
bloodmnist,resnet18,28,3,0.9972301137019649,0.000113746043574902,0.9541069862613272,0.0009546876128941701,0.998,0.958,-0.000769886298035094,-0.0038930137386727903,
breastmnist,resnet18,28,3,0.8735032024505708,0.01239434004734872,0.8055555555555557,0.007994994416183657,0.901,0.863,-0.02749679754942924,-0.0574444444444443,OUT_OF_TOL
chestmnist,resnet18,28,1,0.7665314975312427,0.0,0.9477905636466685,0.0,0.768,0.947,-0.0014685024687572934,0.0007905636466685184,
dermamnist,resnet18,28,3,0.9140184909468205,0.002252943743660054,0.7293433083956775,0.005528940697694392,0.917,0.735,-0.0029815090531795096,-0.005656691604322472,
dermamnist,resnet50,28,3,0.9056469105022953,0.0019279782630315517,0.7238570241064007,0.0019244949131820655,0.913,0.735,-0.007353089497704746,-0.01114297589359925,
octmnist,resnet18,28,1,0.9357253333333334,0.0,0.695,0.0,0.943,0.743,-0.0072746666666665405,-0.04800000000000004,OUT_OF_TOL
organamnist,resnet18,28,3,0.9968439064701421,0.00021827237299149174,0.9321820977237785,0.005232562099781416,0.997,0.935,-0.0001560935298579036,-0.0028179022762215844,
organcmnist,resnet18,28,3,0.9930584595622362,0.00024373110324632367,0.9132992534891269,0.004886098415230276,0.992,0.9,0.0010584595622361581,0.013299253489126861,
organsmnist,resnet18,28,3,0.9704717144589923,0.0016282404387965483,0.7542011253351459,0.010120322821296004,0.972,0.782,-0.0015282855410077012,-0.02779887466485409,
pathmnist,resnet18,28,1,0.9871600025653273,0.0,0.9151810584958218,0.0,0.983,0.907,0.0041600025653273365,0.008181058495821736,
pneumoniamnist,resnet18,28,3,0.9418602527576887,0.013747963476682395,0.8119658119658121,0.05420890057680495,0.944,0.854,-0.002139747242311252,-0.0420341880341879,OUT_OF_TOL
retinamnist,resnet18,28,3,0.7376258340315656,0.0007903928248018155,0.5108333333333334,0.025193694096384982,0.717,0.524,0.020625834031565593,-0.01316666666666666,OUT_OF_TOL
tissuemnist,resnet18,28,1,0.9280445989296238,0.0,0.6734560067681895,0.0,0.93,0.676,-0.0019554010703762836,-0.0025439932318105374,
